
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      0.000000        0.000000        0.000000       
1      -1.000000       0.000000        0.000000       
2      2.914502        0.000000        0.404581       
3      2.849710        0.000000        0.527250       
4      2.768565        0.000000        0.639771       
5      2.672629        0.000000        0.739980       
6      2.563747        0.000000        0.825947       
7      2.444016        0.000000        0.896019       
8      2.315739        0.000000        0.948846       
9      2.181386        0.000000        0.983412       
10     2.043542        0.000000        0.999052       
11     1.904859        0.000000        0.995464       
12     1.768008        0.000000        0.972718       
13     1.635622        0.000000        0.931251       
14     1.510248        0.000000        0.871862       
15     1.394300        0.000000        0.795693       
16     1.290009        0.000000        0.704211       
17     1.199382        0.000000        0.599175       
18     1.124164        0.000000        0.482608       
19     1.065801        0.000000        0.356753       
20     1.025418        0.000000        0.224032       
21     1.003792        0.000000        0.087000       
22     1.001338        0.000000        -0.051707      
23     1.018104        0.000000        -0.189419      
24     1.053767        0.000000        -0.323485      
25     1.107641        0.000000        -0.451326      
26     1.178689        0.000000        -0.570481      
27     1.265544        0.000000        -0.678656      
28     1.366533        0.000000        -0.773770      
29     1.479715        0.000000        -0.853993      
30     1.602909        0.000000        -0.917779      
31     1.733746        0.000000        -0.963903      
32     1.869707        0.000000        -0.991476      
33     2.008176        0.000000        -0.999967      
34     2.146487        0.000000        -0.989213      
35     2.281979        0.000000        -0.959421      
36     2.412044        0.000000        -0.911164      
37     2.534179        0.000000        -0.845371      
38     2.646034        0.000000        -0.763309      
39     2.745455        0.000000        -0.666556      
40     2.830529        0.000000        -0.556975      
41     2.899620        0.000000        -0.436675      
42     2.951396        0.000000        -0.307970      
43     2.984862        0.000000        -0.173339      
44     2.999374        0.000000        -0.035371      
45     2.971132        0.415183        0.000000       
46     2.961601        0.413852        0.138394       
47     2.933194        0.409882        0.274125       
48     2.886456        0.403351        0.404581       
49     2.822288        0.394384        0.527250       
50     2.741924        0.383154        0.639771       
51     2.646911        0.369877        0.739980       
52     2.539077        0.354808        0.825947       
53     2.420497        0.338238        0.896019       
54     2.293455        0.320485        0.948846       
55     2.160395        0.301892        0.983412       
56     2.023877        0.282815        0.999052       
57     1.886529        0.263622        0.995464       
58     1.750995        0.244683        0.972718       
59     1.619883        0.226361        0.931251       
60     1.495715        0.209010        0.871862       
61     1.380883        0.192963        0.795693       
62     1.277596        0.178530        0.704211       
63     1.187841        0.165988        0.599175       
64     1.113346        0.155578        0.482608       
65     1.055545        0.147501        0.356753       
66     1.015551        0.141912        0.224032       
67     0.994132        0.138919        0.087000       
68     0.991702        0.138580        -0.051707      
69     1.008307        0.140900        -0.189419      
70     1.043627        0.145836        -0.323485      
71     1.096982        0.153291        -0.451326      
72     1.167347        0.163124        -0.570481      
73     1.253366        0.175144        -0.678656      
74     1.353384        0.189121        -0.773770      
75     1.465476        0.204784        -0.853993      
76     1.587485        0.221834        -0.917779      
77     1.717063        0.239941        -0.963903      
78     1.851715        0.258757        -0.991476      
79     1.988851        0.277920        -0.999967      
80     2.125832        0.297062        -0.989213      
81     2.260020        0.315813        -0.959421      
82     2.388834        0.333814        -0.911164      
83     2.509793        0.350716        -0.845371      
84     2.620572        0.366196        -0.763309      
85     2.719036        0.379956        -0.666556      
86     2.803292        0.391730        -0.556975      
87     2.871717        0.401291        -0.436675      
88     2.922995        0.408457        -0.307970      
89     2.956140        0.413088        -0.173339      
90     2.970512        0.415097        -0.035371      
91     2.885082        0.822376        0.000000       
92     2.875828        0.819738        0.138394       
93     2.848243        0.811876        0.274125       
94     2.802859        0.798939        0.404581       
95     2.740549        0.781178        0.527250       
96     2.662513        0.758934        0.639771       
97     2.570251        0.732636        0.739980       
98     2.465540        0.702788        0.825947       
99     2.350395        0.669967        0.896019       
100    2.227032        0.634803        0.948846       
101    2.097826        0.597973        0.983412       
102    1.965262        0.560187        0.999052       
103    1.831892        0.522170        0.995464       
104    1.700283        0.484656        0.972718       
105    1.572968        0.448366        0.931251       
106    1.452397        0.413997        0.871862       
107    1.340890        0.382213        0.795693       
108    1.240594        0.353624        0.704211       
109    1.153439        0.328781        0.599175       
110    1.081102        0.308162        0.482608       
111    1.024975        0.292163        0.356753       
112    0.986139        0.281093        0.224032       
113    0.965340        0.275165        0.087000       
114    0.962980        0.274492        -0.051707      
115    0.979104        0.279088        -0.189419      
116    1.013401        0.288864        -0.323485      
117    1.065212        0.303633        -0.451326      
118    1.133538        0.323109        -0.570481      
119    1.217066        0.346918        -0.678656      
120    1.314187        0.374602        -0.773770      
121    1.423033        0.405627        -0.853993      
122    1.541508        0.439398        -0.917779      
123    1.667333        0.475264        -0.963903      
124    1.798086        0.512534        -0.991476      
125    1.931250        0.550492        -0.999967      
126    2.064264        0.588407        -0.989213      
127    2.194566        0.625549        -0.959421      
128    2.319648        0.661203        -0.911164      
129    2.437105        0.694683        -0.845371      
130    2.544675        0.725345        -0.763309      
131    2.640287        0.752599        -0.666556      
132    2.722103        0.775920        -0.556975      
133    2.788547        0.794859        -0.436675      
134    2.838340        0.809053        -0.307970      
135    2.870524        0.818227        -0.173339      
136    2.884480        0.822205        -0.035371      
137    2.743507        1.213742        0.000000       
138    2.734707        1.209849        0.138394       
139    2.708476        1.198244        0.274125       
140    2.665319        1.179151        0.404581       
141    2.606067        1.152938        0.527250       
142    2.531859        1.120108        0.639771       
143    2.444125        1.081294        0.739980       
144    2.344553        1.037243        0.825947       
145    2.235058        0.988802        0.896019       
146    2.117749        0.936903        0.948846       
147    1.994882        0.882547        0.983412       
148    1.868823        0.826778        0.999052       
149    1.741998        0.770669        0.995464       
150    1.616848        0.715302        0.972718       
151    1.495780        0.661741        0.931251       
152    1.381125        0.611017        0.871862       
153    1.275091        0.564107        0.795693       
154    1.179716        0.521913        0.704211       
155    1.096838        0.485247        0.599175       
156    1.028050        0.454815        0.482608       
157    0.974678        0.431203        0.356753       
158    0.937747        0.414864        0.224032       
159    0.917970        0.406115        0.087000       
160    0.915726        0.405122        -0.051707      
161    0.931058        0.411905        -0.189419      
162    0.963672        0.426334        -0.323485      
163    1.012940        0.448130        -0.451326      
164    1.077914        0.476875        -0.570481      
165    1.157343        0.512015        -0.678656      
166    1.249698        0.552873        -0.773770      
167    1.353203        0.598664        -0.853993      
168    1.465864        0.648506        -0.917779      
169    1.585515        0.701440        -0.963903      
170    1.709852        0.756447        -0.991476      
171    1.836481        0.812469        -0.999967      
172    1.962967        0.868427        -0.989213      
173    2.086875        0.923245        -0.959421      
174    2.205820        0.975867        -0.911164      
175    2.317513        1.025280        -0.845371      
176    2.419804        1.070534        -0.763309      
177    2.510725        1.110758        -0.666556      
178    2.588526        1.145178        -0.556975      
179    2.651709        1.173130        -0.436675      
180    2.699059        1.194078        -0.307970      
181    2.729663        1.207618        -0.173339      
182    2.742935        1.213489        -0.035371      
183    2.549131        1.581749        0.000000       
184    2.540955        1.576675        0.138394       
185    2.516582        1.561552        0.274125       
186    2.476483        1.536670        0.404581       
187    2.421429        1.502509        0.527250       
188    2.352479        1.459725        0.639771       
189    2.270961        1.409142        0.739980       
190    2.178443        1.351735        0.825947       
191    2.076706        1.288606        0.896019       
192    1.967708        1.220972        0.948846       
193    1.853546        1.150135        0.983412       
194    1.736419        1.077456        0.999052       
195    1.618579        1.004336        0.995464       
196    1.502295        0.932182        0.972718       
197    1.389805        0.862381        0.931251       
198    1.283274        0.796278        0.871862       
199    1.184751        0.735144        0.795693       
200    1.096134        0.680157        0.704211       
201    1.019128        0.632374        0.599175       
202    0.955214        0.592715        0.482608       
203    0.905623        0.561943        0.356753       
204    0.871309        0.540651        0.224032       
205    0.852932        0.529249        0.087000       
206    0.850847        0.527955        -0.051707      
207    0.865093        0.536795        -0.189419      
208    0.895397        0.555598        -0.323485      
209    0.941174        0.584003        -0.451326      
210    1.001544        0.621463        -0.570481      
211    1.075346        0.667257        -0.678656      
212    1.161158        0.720504        -0.773770      
213    1.257329        0.780179        -0.853993      
214    1.362009        0.845133        -0.917779      
215    1.473182        0.914117        -0.963903      
216    1.588710        0.985802        -0.991476      
217    1.706368        1.058810        -0.999967      
218    1.823893        1.131734        -0.989213      
219    1.939022        1.203172        -0.959421      
220    2.049539        1.271749        -0.911164      
221    2.153319        1.336145        -0.845371      
222    2.248363        1.395120        -0.763309      
223    2.332842        1.447540        -0.666556      
224    2.405130        1.492395        -0.556975      
225    2.463837        1.528823        -0.436675      
226    2.507832        1.556122        -0.307970      
227    2.536269        1.573767        -0.173339      
228    2.548600        1.581419        -0.035371      
229    2.305696        1.919313        0.000000       
230    2.298301        1.913157        0.138394       
231    2.276256        1.894806        0.274125       
232    2.239986        1.864614        0.404581       
233    2.190189        1.823163        0.527250       
234    2.127824        1.771248        0.639771       
235    2.054090        1.709871        0.739980       
236    1.970408        1.640211        0.825947       
237    1.878386        1.563611        0.896019       
238    1.779797        1.481543        0.948846       
239    1.676538        1.395588        0.983412       
240    1.570596        1.307399        0.999052       
241    1.464009        1.218674        0.995464       
242    1.358830        1.131121        0.972718       
243    1.257082        1.046424        0.931251       
244    1.160725        0.966213        0.871862       
245    1.071611        0.892033        0.795693       
246    0.991456        0.825311        0.704211       
247    0.921804        0.767330        0.599175       
248    0.863993        0.719208        0.482608       
249    0.819138        0.681869        0.356753       
250    0.788101        0.656033        0.224032       
251    0.771480        0.642197        0.087000       
252    0.769594        0.640627        -0.051707      
253    0.782479        0.651353        -0.189419      
254    0.809889        0.674170        -0.323485      
255    0.851295        0.708637        -0.451326      
256    0.905900        0.754091        -0.570481      
257    0.972653        0.809658        -0.678656      
258    1.050270        0.874269        -0.773770      
259    1.137258        0.946679        -0.853993      
260    1.231941        1.025495        -0.917779      
261    1.332497        1.109201        -0.963903      
262    1.436992        1.196185        -0.991476      
263    1.543415        1.284773        -0.999967      
264    1.649716        1.373260        -0.989213      
265    1.753850        1.459944        -0.959421      
266    1.853814        1.543156        -0.911164      
267    1.947683        1.621295        -0.845371      
268    2.033650        1.692856        -0.763309      
269    2.110062        1.756463        -0.666556      
270    2.175447        1.810891        -0.556975      
271    2.228548        1.855093        -0.436675      
272    2.268341        1.888218        -0.307970      
273    2.294062        1.909629        -0.173339      
274    2.305216        1.918913        -0.035371      
275    2.017887        2.219940        0.000000       
276    2.011414        2.212819        0.138394       
277    1.992121        2.191594        0.274125       
278    1.960379        2.156673        0.404581       
279    1.916798        2.108729        0.527250       
280    1.862217        2.048683        0.639771       
281    1.797688        1.977692        0.739980       
282    1.724451        1.897122        0.825947       
283    1.643916        1.808523        0.896019       
284    1.557633        1.713601        0.948846       
285    1.467263        1.614182        0.983412       
286    1.374545        1.512180        0.999052       
287    1.281264        1.409558        0.995464       
288    1.189214        1.308291        0.972718       
289    1.100167        1.210327        0.931251       
290    1.015837        1.117553        0.871862       
291    0.937847        1.031754        0.795693       
292    0.867697        0.954581        0.704211       
293    0.806739        0.887519        0.599175       
294    0.756145        0.831859        0.482608       
295    0.716889        0.788672        0.356753       
296    0.689726        0.758789        0.224032       
297    0.675179        0.742786        0.087000       
298    0.673529        0.740970        -0.051707      
299    0.684806        0.753376        -0.189419      
300    0.708794        0.779766        -0.323485      
301    0.745031        0.819632        -0.451326      
302    0.792820        0.872206        -0.570481      
303    0.851241        0.936477        -0.678656      
304    0.919170        1.011207        -0.773770      
305    0.995299        1.094959        -0.853993      
306    1.078163        1.186121        -0.917779      
307    1.166168        1.282937        -0.963903      
308    1.257619        1.383546        -0.991476      
309    1.350757        1.486010        -0.999967      
310    1.443789        1.588357        -0.989213      
311    1.534925        1.688619        -0.959421      
312    1.622411        1.784864        -0.911164      
313    1.704562        1.875242        -0.845371      
314    1.779799        1.958012        -0.763309      
315    1.846672        2.031582        -0.666556      
316    1.903896        2.094535        -0.556975      
317    1.950368        2.145660        -0.436675      
318    1.985194        2.183974        -0.307970      
319    2.007705        2.208738        -0.173339      
320    2.017466        2.219477        -0.035371      
321    1.691242        2.477842        0.000000       
322    1.685817        2.469894        0.138394       
323    1.669647        2.446203        0.274125       
324    1.643043        2.407225        0.404581       
325    1.606516        2.353711        0.527250       
326    1.560771        2.286689        0.639771       
327    1.506687        2.207451        0.739980       
328    1.445305        2.117520        0.825947       
329    1.377807        2.018628        0.896019       
330    1.305492        1.912679        0.948846       
331    1.229750        1.801710        0.983412       
332    1.152041        1.687858        0.999052       
333    1.073859        1.573314        0.995464       
334    0.996710        1.460282        0.972718       
335    0.922077        1.350938        0.931251       
336    0.851398        1.247386        0.871862       
337    0.786033        1.151618        0.795693       
338    0.727239        1.065480        0.704211       
339    0.676148        0.990627        0.599175       
340    0.633744        0.928500        0.482608       
341    0.600843        0.880296        0.356753       
342    0.578077        0.846942        0.224032       
343    0.565885        0.829079        0.087000       
344    0.564501        0.827052        -0.051707      
345    0.573953        0.840900        -0.189419      
346    0.594058        0.870356        -0.323485      
347    0.624430        0.914853        -0.451326      
348    0.664483        0.973535        -0.570481      
349    0.713447        1.045273        -0.678656      
350    0.770379        1.128685        -0.773770      
351    0.834185        1.222167        -0.853993      
352    0.903636        1.323919        -0.917779      
353    0.977395        1.431983        -0.963903      
354    1.054042        1.544280        -0.991476      
355    1.132104        1.658648        -0.999967      
356    1.210076        1.772885        -0.989213      
357    1.286459        1.884795        -0.959421      
358    1.359783        1.992222        -0.911164      
359    1.428637        2.093099        -0.845371      
360    1.491694        2.185485        -0.763309      
361    1.547743        2.267601        -0.666556      
362    1.595703        2.337868        -0.556975      
363    1.634652        2.394933        -0.436675      
364    1.663841        2.437698        -0.307970      
365    1.682708        2.465339        -0.173339      
366    1.690889        2.477325        -0.035371      
367    1.332047        2.688057        0.000000       
368    1.327775        2.679435        0.138394       
369    1.315039        2.653734        0.274125       
370    1.294085        2.611449        0.404581       
371    1.265317        2.553395        0.527250       
372    1.229287        2.480687        0.639771       
373    1.186689        2.394726        0.739980       
374    1.138344        2.297166        0.825947       
375    1.085182        2.189884        0.896019       
376    1.028225        2.074946        0.948846       
377    0.968570        1.954563        0.983412       
378    0.907365        1.831052        0.999052       
379    0.845788        1.706790        0.995464       
380    0.785024        1.584169        0.972718       
381    0.726242        1.465548        0.931251       
382    0.670574        1.353211        0.871862       
383    0.619091        1.249319        0.795693       
384    0.572784        1.155873        0.704211       
385    0.532545        1.074669        0.599175       
386    0.499147        1.007272        0.482608       
387    0.473233        0.954978        0.356753       
388    0.455302        0.918794        0.224032       
389    0.445699        0.899416        0.087000       
390    0.444610        0.897218        -0.051707      
391    0.452054        0.912240        -0.189419      
392    0.467889        0.944195        -0.323485      
393    0.491810        0.992467        -0.451326      
394    0.523357        1.056128        -0.570481      
395    0.561921        1.133951        -0.678656      
396    0.606762        1.224440        -0.773770      
397    0.657017        1.325852        -0.853993      
398    0.711717        1.436237        -0.917779      
399    0.769811        1.553469        -0.963903      
400    0.830180        1.675293        -0.991476      
401    0.891662        1.799363        -0.999967      
402    0.953074        1.923293        -0.989213      
403    1.013235        2.044697        -0.959421      
404    1.070986        2.161237        -0.911164      
405    1.125216        2.270673        -0.845371      
406    1.174881        2.370896        -0.763309      
407    1.219025        2.459980        -0.666556      
408    1.256800        2.536208        -0.556975      
409    1.287477        2.598114        -0.436675      
410    1.310467        2.644507        -0.307970      
411    1.325326        2.674493        -0.173339      
412    1.331770        2.687496        -0.035371      
413    0.947217        2.846538        0.000000       
414    0.944179        2.837408        0.138394       
415    0.935123        2.810192        0.274125       
416    0.920222        2.765414        0.404581       
417    0.899765        2.703937        0.527250       
418    0.874144        2.626942        0.639771       
419    0.843853        2.535913        0.739980       
420    0.809475        2.432601        0.825947       
421    0.771671        2.318995        0.896019       
422    0.731169        2.197280        0.948846       
423    0.688749        2.069799        0.983412       
424    0.645226        1.939006        0.999052       
425    0.601439        1.807418        0.995464       
426    0.558229        1.677568        0.972718       
427    0.516430        1.551953        0.931251       
428    0.476844        1.432993        0.871862       
429    0.440235        1.322976        0.795693       
430    0.407306        1.224020        0.704211       
431    0.378692        1.138029        0.599175       
432    0.354942        1.066658        0.482608       
433    0.336515        1.011281        0.356753       
434    0.323765        0.972964        0.224032       
435    0.316936        0.952444        0.087000       
436    0.316161        0.950115        -0.051707      
437    0.321455        0.966024        -0.189419      
438    0.332715        0.999862        -0.323485      
439    0.349726        1.050981        -0.451326      
440    0.372158        1.118394        -0.570481      
441    0.399582        1.200806        -0.678656      
442    0.431468        1.296630        -0.773770      
443    0.467204        1.404022        -0.853993      
444    0.506101        1.520914        -0.917779      
445    0.547411        1.645058        -0.963903      
446    0.590340        1.774064        -0.991476      
447    0.634060        1.905450        -0.999967      
448    0.677730        2.036686        -0.989213      
449    0.720510        2.165247        -0.959421      
450    0.761577        2.288659        -0.911164      
451    0.800139        2.404546        -0.845371      
452    0.835456        2.510679        -0.763309      
453    0.866847        2.605014        -0.666556      
454    0.893709        2.685736        -0.556975      
455    0.915523        2.751292        -0.436675      
456    0.931871        2.800421        -0.307970      
457    0.942438        2.832175        -0.173339      
458    0.947020        2.845944        -0.035371      
459    0.544157        2.950236        0.000000       
460    0.542412        2.940773        0.138394       
461    0.537209        2.912565        0.274125       
462    0.528649        2.866157        0.404581       
463    0.516897        2.802439        0.527250       
464    0.502178        2.722641        0.639771       
465    0.484777        2.628295        0.739980       
466    0.465027        2.521220        0.825947       
467    0.443310        2.403475        0.896019       
468    0.420042        2.277326        0.948846       
469    0.395672        2.145201        0.983412       
470    0.370669        2.009643        0.999052       
471    0.345514        1.873262        0.995464       
472    0.320692        1.738680        0.972718       
473    0.296679        1.608490        0.931251       
474    0.273938        1.485196        0.871862       
475    0.252906        1.371171        0.795693       
476    0.233989        1.268610        0.704211       
477    0.217551        1.179487        0.599175       
478    0.203907        1.105516        0.482608       
479    0.193321        1.048122        0.356753       
480    0.185996        1.008409        0.224032       
481    0.182074        0.987141        0.087000       
482    0.181628        0.984728        -0.051707      
483    0.184670        1.001215        -0.189419      
484    0.191138        1.036287        -0.323485      
485    0.200910        1.089267        -0.451326      
486    0.213797        1.159137        -0.570481      
487    0.229552        1.244551        -0.678656      
488    0.247870        1.343865        -0.773770      
489    0.268399        1.455169        -0.853993      
490    0.290745        1.576320        -0.917779      
491    0.314477        1.704987        -0.963903      
492    0.339138        1.838693        -0.991476      
493    0.364255        1.974864        -0.999967      
494    0.389342        2.110881        -0.989213      
495    0.413919        2.244126        -0.959421      
496    0.437510        2.372033        -0.911164      
497    0.459664        2.492142        -0.845371      
498    0.479953        2.602141        -0.763309      
499    0.497986        2.699913        -0.666556      
500    0.513418        2.783576        -0.556975      
501    0.525950        2.851521        -0.436675      
502    0.535341        2.902438        -0.307970      
503    0.541412        2.935349        -0.173339      
504    0.544044        2.949621        -0.035371      
505    0.130625        2.997155        0.000000       
506    0.130206        2.987541        0.138394       
507    0.128957        2.958885        0.274125       
