
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.247331       0.686903        0.000000       
1      0.244474        1.403533        0.000000       
2      -3.070620       2.002162        0.404581       
3      -3.074347       1.699219        0.527250       
4      -2.935045       1.494176        0.639771       
5      -2.690757       1.336229        0.739980       
6      -2.210834       1.182882        0.825947       
7      -1.508259       1.018499        0.896019       
8      -0.350963       0.802175        0.948846       
9      0.825926        0.558097        0.983412       
10     1.543737        0.392965        0.999052       
11     1.673053        0.370063        0.995464       
12     1.096215        0.401094        0.972718       
13     -0.072117       0.595742        0.931251       
14     -1.495522       1.031959        0.871862       
15     -1.466012       1.110344        0.795693       
16     0.420530        0.544393        0.704211       
17     0.730633        0.249160        0.599175       
18     -0.866115       1.404459        0.482608       
19     -0.560522       1.941274        0.356753       
20     0.095946        -0.430955       0.224032       
21     -0.377914       0.967699        0.087000       
22     -0.433083       0.283062        -0.051707      
23     0.419906        0.054980        -0.189419      
24     -0.411826       1.626221        -0.323485      
25     -0.908309       1.575976        -0.451326      
26     0.193863        0.445670        -0.570481      
27     0.786132        0.361626        -0.678656      
28     -1.136096       1.029198        -0.773770      
29     -1.628547       1.090818        -0.853993      
30     -0.466704       0.698954        -0.917779      
31     0.869435        0.436983        -0.963903      
32     1.574431        0.398973        -0.991476      
33     1.634201        0.406220        -0.999967      
34     1.035880        0.523133        -0.989213      
35     -0.013688       0.730647        -0.959421      
36     -1.220505       0.935897        -0.911164      
37     -2.069557       1.096617        -0.845371      
38     -2.595809       1.239059        -0.763309      
39     -2.922997       1.395661        -0.666556      
40     -3.063398       1.594228        -0.556975      
41     -3.093568       1.866331        -0.436675      
42     -2.988327       2.292559        -0.307970      
43     -2.473499       3.079384        -0.173339      
44     -0.905454       3.912482        -0.035371      
45     -0.856975       3.685526        0.000000       
46     -2.472433       3.110845        0.138394       
47     -3.115487       2.087988        0.274125       
48     -3.213122       1.581788        0.404581       
49     -3.161568       1.293065        0.527250       
50     -2.972222       1.116491        0.639771       
51     -2.718356       1.001861        0.739980       
52     -2.214469       0.920594        0.825947       
53     -1.516991       0.848851        0.896019       
54     -0.300811       0.784805        0.948846       
55     0.864369        0.695987        0.983412       
56     1.577977        0.619680        0.999052       
57     1.706742        0.620364        0.995464       
58     1.040642        0.574695        0.972718       
59     -0.183188       0.629265        0.931251       
60     -1.648695       0.888817        0.871862       
61     -1.480512       0.963728        0.795693       
62     0.428239        0.627641        0.704211       
63     0.774072        0.363093        0.599175       
64     -0.962557       1.335017        0.482608       
65     -0.537362       1.987705        0.356753       
66     -0.151219       0.112285        0.224032       
67     -0.254005       0.373839        0.087000       
68     -0.703122       0.449946        -0.051707      
69     0.158108        -0.538307       -0.189419      
70     -0.456935       1.852967        -0.323485      
71     -0.986382       1.499485        -0.451326      
72     0.246042        0.478306        -0.570481      
73     0.819140        0.485452        -0.678656      
74     -1.161871       0.908888        -0.773770      
75     -1.667360       0.913506        -0.853993      
76     -0.611365       0.685042        -0.917779      
77     0.819569        0.593022        -0.963903      
78     1.594690        0.648397        -0.991476      
79     1.671679        0.642354        -0.999967      
80     1.066954        0.688037        -0.989213      
81     0.036774        0.757721        -0.959421      
82     -1.207392       0.807558        -0.911164      
83     -2.050823       0.859004        -0.845371      
84     -2.591046       0.930759        -0.763309      
85     -2.950663       1.035024        -0.666556      
86     -3.138029       1.201561        -0.556975      
87     -3.203266       1.483689        -0.436675      
88     -3.157835       1.923419        -0.307970      
89     -2.762928       2.758431        -0.173339      
90     -1.147529       4.005897        -0.035371      
91     -0.612909       4.101940        0.000000       
92     -2.817080       2.714259        0.138394       
93     -3.268584       1.666535        0.274125       
94     -3.284709       1.164353        0.404581       
95     -3.178481       0.899618        0.527250       
96     -2.961033       0.755311        0.639771       
97     -2.671613       0.678787        0.739980       
98     -2.208966       0.651050        0.825947       
99     -1.470229       0.679846        0.896019       
100    -0.272929       0.776321        0.948846       
101    0.889600        0.845680        0.983412       
102    1.585962        0.863401        0.999052       
103    1.697868        0.893037        0.995464       
104    0.985804        0.759648        0.972718       
105    -0.241595       0.640320        0.931251       
106    -1.568591       0.685128        0.871862       
107    -1.462487       0.814392        0.795693       
108    0.543042        0.692174        0.704211       
109    0.785837        0.507608        0.599175       
110    -1.074297       1.235227        0.482608       
111    -0.628901       1.968483        0.356753       
112    -0.075711       0.927891        0.224032       
113    -0.823328       0.191550        0.087000       
114    -1.012827       0.817081        -0.051707      
115    -0.254531       -0.279882       -0.189419      
116    -0.556083       1.889083        -0.323485      
117    -1.047288       1.426388        -0.451326      
118    0.199618        0.571191        -0.570481      
119    0.886195        0.629893        -0.678656      
120    -1.179042       0.770360        -0.773770      
121    -1.685927       0.698191        -0.853993      
122    -0.708822       0.632646        -0.917779      
123    0.736498        0.735019        -0.963903      
124    1.575002        0.892990        -0.991476      
125    1.675917        0.893562        -0.999967      
126    1.084939        0.868727        -0.989213      
127    0.070264        0.794958        -0.959421      
128    -1.178987       0.672098        -0.911164      
129    -2.016164       0.613622        -0.845371      
130    -2.550905       0.618802        -0.763309      
131    -2.920543       0.682096        -0.666556      
132    -3.148203       0.813370        -0.556975      
133    -3.264352       1.048892        -0.436675      
134    -3.283706       1.497844        -0.307970      
135    -3.027193       2.359960        -0.173339      
136    -1.033005       4.030516        -0.035371      
137    -1.127474       4.030064        0.000000       
138    -3.083021       2.264430        0.138394       
139    -3.346093       1.210241        0.274125       
140    -3.278015       0.750035        0.404581       
141    -3.121787       0.520323        0.527250       
142    -2.902320       0.396838        0.639771       
143    -2.587758       0.354552        0.739980       
144    -2.133157       0.391754        0.825947       
145    -1.364117       0.538512        0.896019       
146    -0.233630       0.778401        0.948846       
147    0.912398        1.003928        0.983412       
148    1.558783        1.105486        0.999052       
149    1.653665        1.151880        0.995464       
150    0.926106        0.935908        0.972718       
151    -0.370428       0.618063        0.931251       
152    -1.576342       0.491199        0.871862       
153    -1.450906       0.633663        0.795693       
154    0.587900        0.802494        0.704211       
155    0.789832        0.680642        0.599175       
156    -1.169251       1.105748        0.482608       
157    -0.781181       1.893136        0.356753       
158    0.002078        1.289508        0.224032       
159    -1.179742       0.713587        0.087000       
160    -0.889045       1.178883        -0.051707      
161    -0.136058       0.535696        -0.189419      
162    -0.664029       1.882649        -0.323485      
163    -1.169410       1.290856        -0.451326      
164    0.115775        0.646465        -0.570481      
165    0.927356        0.788891        -0.678656      
166    -1.118089       0.655780        -0.773770      
167    -1.674043       0.499630        -0.853993      
168    -0.769526       0.554901        -0.917779      
169    0.650259        0.870373        -0.963903      
170    1.520043        1.149279        -0.991476      
171    1.645331        1.154209        -0.999967      
172    1.093259        1.052767        -0.989213      
173    0.095657        0.842146        -0.959421      
174    -1.078628       0.569502        -0.911164      
175    -1.953927       0.384107        -0.845371      
176    -2.454557       0.334634        -0.763309      
177    -2.845420       0.346596        -0.666556      
178    -3.088552       0.442635        -0.556975      
179    -3.252919       0.650844        -0.436675      
180    -3.335627       1.050629        -0.307970      
181    -3.224396       1.883587        -0.173339      
182    -1.621831       3.823538        -0.035371      
183    -1.733322       3.840765        0.000000       
184    -3.282974       1.660246        0.138394       
185    -3.338837       0.700240        0.274125       
186    -3.192876       0.274988        0.404581       
187    -3.001945       0.081465        0.527250       
188    -2.781262       0.000160        0.639771       
189    -2.453531       0.029383        0.739980       
190    -1.990376       0.150264        0.825947       
191    -1.245812       0.403679        0.896019       
