
=== Last Positions of Bodies ===
ID     X               Y               Z              
0      -0.435699       -2.160415       0.000000       
1      -0.279406       -2.919964       0.000000       
2      -3.075631       -0.462023       0.290285       
3      -3.165554       -0.875088       0.382683       
4      -3.156016       -1.161375       0.471397       
5      -3.043203       -1.374955       0.555570       
6      -2.890483       -1.521125       0.634393       
7      -2.711479       -1.645173       0.707107       
8      -2.462827       -1.749640       0.773010       
9      -2.140298       -1.848421       0.831470       
10     -1.648111       -1.957899       0.881921       
11     -0.992652       -2.078583       0.923880       
12     -0.097049       -2.222487       0.956940       
13     0.694575        -2.348588       0.980785       
14     1.231507        -2.440883       0.995185       
15     1.490427        -2.494262       1.000000       
16     1.481333        -2.497582       0.995185       
17     1.089161        -2.439184       0.980785       
18     0.196497        -2.325447       0.956940       
19     -0.951090       -2.117902       0.923879       
20     -1.720420       -1.918683       0.881921       
21     -1.820893       -1.855589       0.831469       
22     -1.154849       -1.947326       0.773010       
23     0.271787        -2.382946       0.707106       
24     0.822899        -2.671384       0.634393       
25     -0.051297       -2.381920       0.555570       
26     -1.334244       -1.702629       0.471396       
27     -0.797464       -1.665423       0.382683       
28     -0.443084       -1.797564       0.290284       
29     -0.666833       -3.310831       0.195090       
30     -0.521441       -2.143044       0.098016       
31     1.858591        -10.174936      -0.000001      
32     -0.516069       -2.114479       -0.098018      
33     -0.681083       -3.306966       -0.195091      
34     -0.431377       -1.891693       -0.290286      
35     -0.776160       -1.731694       -0.382684      
36     -1.338805       -1.780938       -0.471398      
37     -0.071744       -2.377287       -0.555571      
38     0.836356        -2.650336       -0.634394      
39     0.317439        -2.402869       -0.707108      
40     -1.172466       -1.945199       -0.773011      
41     -1.826017       -1.866863       -0.831470      
42     -1.721789       -1.929669       -0.881922      
43     -0.908911       -2.132111       -0.923880      
44     0.226094        -2.313691       -0.956940      
45     1.061008        -2.428459       -0.980785      
46     1.471983        -2.482118       -0.995185      
47     1.489388        -2.471608       -1.000000      
48     1.193071        -2.426375       -0.995185      
49     0.624081        -2.331976       -0.980785      
50     -0.238232       -2.199701       -0.956941      
51     -1.038481       -2.067018       -0.923880      
52     -1.732424       -1.935465       -0.881922      
53     -2.169782       -1.828295       -0.831471      
54     -2.499510       -1.725425       -0.773012      
55     -2.730170       -1.612374       -0.707108      
56     -2.861729       -1.494088       -0.634395      
57     -3.018790       -1.324986       -0.555572      
58     -3.115003       -1.109909       -0.471399      
59     -3.146071       -0.858528       -0.382686      
60     -3.071601       -0.471088       -0.290288      
61     -2.698351       0.162515        -0.195093      
62     -1.510580       1.032743        -0.098021      
63     0.049913        1.152242        -0.000004      
64     -0.240994       1.329647        0.000000       
65     -1.986021       0.827558        0.098017       
66     -2.930515       -0.113735       0.195090       
67     -3.177583       -0.705256       0.290285       
68     -3.211246       -1.073443       0.382683       
69     -3.146136       -1.301530       0.471397       
70     -3.004617       -1.480879       0.555570       
71     -2.845596       -1.621172       0.634393       
72     -2.684729       -1.725869       0.707107       
73     -2.404608       -1.834016       0.773010       
74     -2.103283       -1.927171       0.831470       
75     -1.553199       -2.015268       0.881921       
76     -0.900694       -2.096745       0.923880       
77     0.030864        -2.194193       0.956940       
78     0.773392        -2.277679       0.980785       
79     1.279367        -2.350489       0.995185       
80     1.508212        -2.397891       1.000000       
81     1.456485        -2.417877       0.995185       
82     1.061336        -2.368463       0.980785       
83     0.120144        -2.298821       0.956940       
84     -1.065536       -2.145899       0.923879       
85     -1.771422       -1.984237       0.881921       
86     -1.804706       -1.919151       0.831469       
87     -1.090833       -1.975444       0.773010       
88     0.323551        -2.350325       0.707106       
89     0.850535        -2.582460       0.634393       
90     0.072550        -2.409490       0.555570       
91     -1.384662       -1.774718       0.471396       
92     -0.829618       -1.626753       0.382683       
93     -0.450474       -1.664885       0.290284       
94     -0.728154       -3.227644       0.195090       
95     -0.769304       -2.909162       0.098016       
96     -2.103627       0.930488        -0.000001      
97     -0.771131       -2.821723       -0.098018      
98     -0.749894       -3.199227       -0.195091      
99     -0.444176       -1.673120       -0.290286      
100    -0.782438       -1.749142       -0.382684      
101    -1.367377       -1.824170       -0.471398      
102    -0.188259       -2.337718       -0.555571      
103    0.841906        -2.607766       -0.634394      
104    0.389106        -2.394030       -0.707108      
105    -1.068617       -1.962043       -0.773011      
106    -1.802974       -1.908701       -0.831470      
107    -1.776077       -1.976473       -0.881922      
108    -1.018107       -2.158137       -0.923880      
109    0.136613        -2.305310       -0.956940      
110    1.010479        -2.393617       -0.980785      
111    1.449094        -2.416987       -0.995185      
112    1.506868        -2.394518       -1.000000      
113    1.245209        -2.340105       -0.995185      
114    0.687928        -2.263608       -0.980785      
115    -0.107794       -2.177414       -0.956941      
116    -0.994837       -2.077468       -0.923880      
117    -1.626257       -1.986676       -0.881922      
118    -2.131634       -1.895902       -0.831471      
119    -2.440561       -1.815186       -0.773012      
120    -2.718628       -1.722664       -0.707108      
121    -2.861294       -1.622138       -0.634395      
122    -3.012253       -1.476306       -0.555572      
123    -3.128361       -1.282723       -0.471399      
124    -3.155257       -1.034837       -0.382686      
125    -3.129178       -0.659482       -0.290288      
126    -2.886529       -0.086103       -0.195093      
127    -1.980291       0.829875        -0.098021      
128    -0.300902       1.334910        -0.000004      
129    -0.699864       1.312447        0.000000       
130    -2.301373       0.613642        0.098017       
131    -2.997964       -0.316051       0.195090       
132    -3.163716       -0.886665       0.290285       
133    -3.184992       -1.219028       0.382683       
134    -3.109591       -1.461904       0.471397       
135    -2.971390       -1.614360       0.555570       
136    -2.834641       -1.754107       0.634393       
137    -2.664399       -1.877155       0.707107       
138    -2.395052       -1.977098       0.773010       
139    -2.030937       -2.043390       0.831470       
140    -1.495108       -2.090810       0.881921       
141    -0.783133       -2.123051       0.923880       
142    0.095459        -2.149117       0.956940       
143    0.853093        -2.178246       0.980785       
144    1.316501        -2.204150       0.995185       
145    1.525190        -2.238173       1.000000       
146    1.447206        -2.281687       0.995185       
147    1.025731        -2.274780       0.980785       
148    0.056940        -2.268717       0.956940       
149    -1.153556       -2.199007       0.923879       
150    -1.823063       -2.074545       0.881921       
151    -1.824584       -2.028884       0.831469       
152    -1.066407       -2.024362       0.773010       
153    0.379497        -2.308233       0.707106       
154    0.864083        -2.508551       0.634393       
155    -0.056001       -2.344622       0.555570       
156    -1.398056       -1.839905       0.471396       
157    -0.835473       -1.702902       0.382683       
158    -0.465485       -1.693003       0.290284       
159    -0.662341       -2.990516       0.195090       
160    -1.191081       -3.167228       0.098016       
161    -1.982831       1.172734        -0.000001      
162    -1.212152       -3.097443       -0.098018      
163    -0.677403       -2.959562       -0.195091      
164    -0.448148       -1.591498       -0.290286      
165    -0.788572       -1.751121       -0.382684      
166    -1.399681       -1.815205       -0.471398      
167    0.000671        -2.385529       -0.555571      
168    0.840533        -2.557055       -0.634394      
169    0.437319        -2.340726       -0.707108      
170    -1.046323       -2.005522       -0.773011      
171    -1.781278       -1.988458       -0.831470      
172    -1.814563       -2.060767       -0.881922      
173    -1.130383       -2.198661       -0.923880      
174    0.032031        -2.282218       -0.956940      
175    1.003778        -2.286256       -0.980785      
176    1.437740        -2.292859       -0.995185      
177    1.522614        -2.268372       -1.000000      
178    1.276476        -2.228983       -0.995185      
179    0.763011        -2.191241       -0.980785      
180    0.050742        -2.146717       -0.956941      
181    -0.938629       -2.089641       -0.923880      
182    -1.543053       -2.036505       -0.881922      
183    -2.091930       -1.973802       -0.831471      
184    -2.372666       -1.910977       -0.773012      
185    -2.682999       -1.824761       -0.707108      
186    -2.842784       -1.725439       -0.634395      

[Proceso 1] ========== SIMULACIÓN COMPLETADA ==========
187    -2.973376       -1.599922       -0.555572      
188    -3.117114       -1.440364       -0.471399      
189    -3.165592       -1.201105       -0.382686      
190    -3.160283       -0.876618       -0.290288      
191    -2.982354       -0.323775       -0.195093      
192    -2.290505       0.606995        -0.098021      
193    -0.671291       1.321961        -0.000004      
194    0.165529        -5.981507       0.000000       
195    -2.471565       0.348082        0.098017       
196    -3.019952       -0.578126       0.195090       
197    -3.148087       -1.109185       0.290285       
198    -3.148030       -1.416192       0.382683       
199    -3.046398       -1.631208       0.471397       
200    -2.960256       -1.805870       0.555570       
201    -2.840229       -1.958906       0.634393       
202    -2.623906       -2.057766       0.707107       
203    -2.342228       -2.113960       0.773010       
204    -1.915913       -2.149111       0.831470       
205    -1.381158       -2.150090       0.881921       
206    -0.653955       -2.125961       0.923880       
207    0.205507        -2.091929       0.956940       
208    0.929118        -2.077819       0.980785       
209    1.350282        -2.089158       0.995185       
210    1.525122        -2.108743       1.000000       
211    1.431285        -2.131144       0.995185       
212    1.007289        -2.150038       0.980785       
213    -0.028422       -2.241578       0.956940       
214    -1.236505       -2.268779       0.923879       
215    -1.856488       -2.195785       0.881921       
216    -1.809133       -2.142458       0.831469       
217    -0.991613       -2.063996       0.773010       
218    0.385926        -2.228553       0.707106       
219    0.871354        -2.420303       0.634393       
220    -0.239735       -2.303401       0.555570       
221    -1.453640       -1.915795       0.471396       
222    -0.856872       -1.714346       0.382683       
223    -0.477153       -1.680950       0.290284       
224    -0.527367       -2.620186       0.195090       
225    -1.561993       -2.970131       0.098016       
226    1.869371        -4.143126       -0.000001      
227    -1.532529       -3.009056       -0.098018      
228    -0.516707       -2.560693       -0.195091      
229    -0.461631       -1.651134       -0.290286      
230    -0.803563       -1.729976       -0.382684      
231    -1.440646       -1.849384       -0.471398      
232    -0.066602       -2.349347       -0.555571      
233    0.859003        -2.446032       -0.634394      
234    0.465855        -2.251104       -0.707108      
235    -1.012263       -2.057714       -0.773011      
236    -1.760229       -2.081821       -0.831470      
237    -1.847036       -2.170888       -0.881922      
238    -1.225961       -2.260680       -0.923880      
239    -0.030148       -2.254617       -0.956940      
240    0.954999        -2.190312       -0.980785      
241    1.424510        -2.166880       -0.995185      
242    1.520117        -2.130999       -1.000000      
243    1.308482        -2.102586       -0.995185      
244    0.847087        -2.100873       -0.980785      
245    0.148103        -2.097160       -0.956941      
246    -0.796187       -2.105550       -0.923880      
247    -1.465543       -2.104795       -0.881922      
248    -2.039481       -2.087792       -0.831471      
249    -2.329859       -2.039634       -0.773012      
250    -2.649568       -1.968579       -0.707108      
251    -2.829479       -1.862647       -0.634395      
252    -2.925536       -1.738174       -0.555572      
253    -3.065936       -1.584180       -0.471399      
254    -3.146066       -1.365424       -0.382686      
255    -3.149433       -1.057217       -0.290288      
256    -2.872564       -0.942164       -0.195093      
257    -2.408360       0.333734        -0.098021      
258    -0.928570       1.035986        -0.000004      
259    -1.266532       0.740995        0.000000       
260    -2.727620       0.074479        0.098017       
261    -3.300261       -0.719116       0.195090       
262    -2.406878       -1.476074       0.290285       
263    -3.260473       -1.584825       0.382683       
264    -3.226584       -1.852007       0.471397       
265    -2.744591       -2.094639       0.555570       
266    -3.265922       -2.228237       0.634393       
267    -2.814434       -2.229182       0.707107       
268    -2.217420       -2.258982       0.773010       
269    -1.446549       -2.186125       0.831470       
270    -2.141361       -2.280639       0.881921       
271    -1.245647       -2.180972       0.923880       
272    -0.641921       -2.108349       0.956940       
273    0.496867        -1.994717       0.980785       
274    1.226435        -1.944917       0.995185       
275    1.447850        -1.988245       1.000000       
276    1.435758        -1.980553       0.995185       
277    1.007864        -2.034741       0.980785       
278    0.462807        -2.133226       0.956940       
279    -1.268655       -2.343016       0.923879       
280    -1.839440       -2.320279       0.881921       
281    -2.007842       -2.262082       0.831469       
282    -1.203776       -2.106335       0.773010       
283    0.430854        -2.173495       0.707106       
284    0.835766        -2.304137       0.634393       
285    -0.432293       -2.268096       0.555570       
286    -1.400133       -1.984232       0.471396       
287    -0.811496       -1.842762       0.382683       
288    -0.492735       -1.695875       0.290284       
289    -0.355000       -2.240034       0.195090       
290    -1.558093       -2.646578       0.098016       
291    4.464774        -4.454096       -0.000001      
292    -1.592322       -2.669570       -0.098018      
293    -1.188174       -2.940103       -0.195091      
294    -0.508500       -1.672487       -0.290286      
295    -0.863388       -1.730505       -0.382684      
296    -1.505680       -1.911763       -0.471398      
297    -0.473756       -2.258760       -0.555571      
298    0.857824        -2.257058       -0.634394      
299    0.416875        -2.188769       -0.707108      
300    -1.135594       -2.117417       -0.773011      
301    -1.869617       -2.228697       -0.831470      
302    -1.868042       -2.282848       -0.881922      
303    -1.282626       -2.334309       -0.923880      
304    -0.055836       -2.235112       -0.956940      
